gene_id,gene,Product,Note,Locus,Protein ID,COG Class,COG Annotation,GeneID,Protein product,Protein Length,Protein name,FPKM of control-1,FPKM of control-2,FPKM of control-3,FPKM of Flu30d-Amor-1,FPKM of Flu30d-Amor-2
yecD,yecD,isochorismatase family protein,,NC_000913.3:1950831-1952213,90111348,(METABOLISM) [H] Coenzyme transport and metabolism; [R] General function prediction only,[COG1335] Nicotinamidase-related amidase,946384,NP_416381.2,188,isochorismatase family protein,24.2147,26.6779,19.1545,54.7449,49.0759
yecE,yecE,UPF0759 family protein,,NC_000913.3:1950831-1952213,16129821,(POORLY CHARACTERIZED) [S] Function unknown,"[COG1801] Uncharacterized conserved protein YecE, DUF72 family",946382,NP_416382.1,272,UPF0759 family protein,8.27142,8.43209,7.11574,11.8302,11.028
yecF,yecF,DUF2594 family protein,,NC_000913.3:1995817-1996042,-,-,-,-,-,-,-,13.8757,26.6096,19.6255,10.8363,14.6876
yecH,yecH,DUF2492 family protein,,NC_000913.3:1989250-1989490,-,-,-,-,-,-,-,45.6768,47.0612,22.6515,35.2204,40.5783
yecJ,yecJ,DUF2766 family protein,,NC_000913.3:1987506-1987758,-,-,-,-,-,-,-,12.0128,13.1184,6.19516,1.77365,4.97947
yecM,yecM,putative metal-binding enzyme,,NC_000913.3:1959279-1959846,90111352,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG3102] Uncharacterized conserved protein YecM, predicted metalloenzyme",946415,NP_416389.4,188,putative metal-binding enzyme,14.8056,14.8069,9.97299,9.80506,10.5726
yecN,yecN,MAPEG family inner membrane protein,,NC_000913.3:1952265-1952661,90111349,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3788] Uncharacterized membrane protein YecN, MAPEG domain",946381,NP_416383.4,131,MAPEG family inner membrane protein,33.9925,37.6382,16.4503,10.9598,15.712
yecR,yecR,lipoprotein%2C function unknown,,NC_000913.3:1988221-1988545,-,-,-,-,-,-,-,4.47717,4.41872,3.94686,2.03485,3.60207
yecS,yecS,ABC family putative inner membrane permease,putative transport system permease protein (former yecC),NC_000913.3:1997061-1998479,16129865,(METABOLISM) [E] Amino acid transport and metabolism,"[COG0765] ABC-type amino acid transport system, permease component",949105,NP_416428.1,222,ABC family putative inner membrane permease,11.9357,11.4292,12.6383,9.46157,10.4322
yecT,yecT,uncharacterized protein,,NC_000913.3:1961971-1962460,90111353,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3755] Uncharacterized conserved protein YecT, DUF1311 family",946511,NP_416391.4,162,uncharacterized protein b1877,3.25643,2.05315,0.980812,1.51835,0.784356
yedA,yedA,amino acid exporter for phenylalanine%2C threonine,putative transmembrane subunit,NC_000913.3:2029538-2032317,16129905,(METABOLISM) [G] Carbohydrate transport and metabolism; [E] Amino acid transport and metabolism; [R] General function prediction only,[COG0697] Permease of the drug/metabolite transporter (DMT) superfamily,946461,NP_416468.1,306,"amino acid exporter for phenylalanine, threonine",6.56894,5.59539,8.35122,6.97136,5.43637
yedD,yedD,lipoprotein,,NC_000913.3:2007676-2008090,-,-,-,-,-,-,-,61.1437,60.1367,29.0259,40.3874,40.3877
yedE,yedE,UPF0394 family sulphur transport domain-containing inner membrane protein,putative transport system permease protein,NC_000913.3:2008276-2009712,16129876,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG2391] Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains",945192,NP_416439.1,401,UPF0394 family sulphur transport domain-containing inner membrane protein,32.8897,35.0439,14.5284,20.5855,21.7831
yedF,yedF,putative TusA family sulfurtransferase,,NC_000913.3:2008276-2009712,16129877,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0425] TusA-related sulfurtransferase,946909,NP_416440.1,77,putative TusA family sulfurtransferase,40.1673,39.7567,15.8945,43.1106,55.8017
yedI,yedI,DUF808 family inner membrane protein,,NC_000913.3:2028448-2029366,16129904,(POORLY CHARACTERIZED) [S] Function unknown,"[COG2354] Uncharacterized membrane protein MutK, may be involved in DNA repair",946465,NP_416467.1,305,DUF808 family inner membrane protein,21.3412,22.6072,18.378,21.3252,19.5652
yedJ,yedJ,putative HD superfamily phosphohydrolase,,NC_000913.3:2032383-2033079,16129908,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis; [R] General function prediction only","[COG1418] HD superfamily phosphodieaserase, includes HD domain of RNase Y",946478,NP_416471.1,231,putative HD superfamily phosphohydrolase,15.7387,17.5392,11.7579,9.29241,9.66036
yedK,yedK,DUF159 family protein,,NC_000913.3:2009820-2010489,49176171,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG2135] Putative SOS response-associated peptidase YedK,946435,YP_025310.1,222,DUF159 family protein,1.76825,1.93888,3.28596,1.30504,2.51377
yedL,yedL,GNAT family putative N-acetyltransferase,,NC_000913.3:2010599-2011079,16129879,(INFORMATION STORAGE AND PROCESSING) [K] Transcription; [R] General function prediction only,"[COG0454] N-acetyltransferase, GNAT superfamily (includes histone acetyltransferase HPA2)",946437,NP_416442.1,159,GNAT family putative N-acetyltransferase,2.99611,2.43567,1.41208,1.82158,1.2104
yedN,yedN,,pseudogene%2C IpaH/YopM family,NC_000913.3:2011222-2012351,-,-,-,-,-,-,-,0.174685,0.269306,0.332665,0.171856,0.197641
yedP,yedP,putative mannosyl-3-phosphoglycerate phosphatase,,NC_000913.3:2025510-2028017,16129901,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG3769] Predicted mannosyl-3-phosphoglycerate phosphatase, HAD superfamily",946472,NP_416464.1,271,putative mannosyl-3-phosphoglycerate phosphatase,8.82336,6.64987,10.0862,3.91937,4.17894
yedQ,yedQ,putative membrane-anchored diguanylate cyclase,,NC_000913.3:2025510-2028017,90111360,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG3706] Two-component response regulator, PleD family, consists of two REC domains and a diguanylate cyclase (GGDEF) domain",946471,NP_416465.2,564,putative membrane-anchored diguanylate cyclase,9.42622,8.42126,7.51175,5.93012,6.18729
yedR,yedR,inner membrane protein,,NC_000913.3:2033118-2033484,-,-,-,-,-,-,-,5.48719,2.51987,8.17214,2.02617,7.28931
yedS,yedS,,pseudogene%2C outer membrane protein homology~putative outer membrane protein,NC_000913.3:2034050-2035243,-,-,-,-,-,-,-,6.7913,3.16651,3.66243,2.32505,2.15063
yedV,yedV,putative sensory kinase in two-component regulatory system with YedW,putative 2-component sensor protein,NC_000913.3:2036793-2038823,16129914,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG2205] K+-sensing histidine kinase KdpD,946487,NP_416477.1,452,putative sensory kinase in two-component regulatory system with YedW,4.96016,4.97963,4.00934,2.4858,2.22111
yedW,yedW,response regulator family protein,putative 2-component transcriptional regulator,NC_000913.3:2036793-2038823,90111362,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [T] Signal transduction mechanisms; [K] Transcription,"[COG0745] DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain",946486,NP_416478.2,223,response regulator family protein,7.9103,6.99989,10.3023,4.05425,5.24751
yedY,yedY,membrane-anchored%2C periplasmic TMAO%2C DMSO reductase,putative reductase,NC_000913.3:2039477-2040482,16129917,(METABOLISM) [C] Energy production and conversion,"[COG2041] Periplasmic DMSO/TMAO reductase YedYZ, molybdopterin-dependent catalytic subunit",946484,NP_416480.1,334,"membrane-anchored, periplasmic TMAO, DMSO reductase",22.4605,17.5133,11.6186,5.88397,6.17007
yedZ,yedZ,inner membrane heme subunit for periplasmic YedYZ reductase,,NC_000913.3:2040482-2041118,16129918,(METABOLISM) [C] Energy production and conversion,"[COG2717] Periplasmic DMSO/TMAO reductase YedYZ, heme-binding membrane subunit",946483,NP_416481.1,211,inner membrane heme subunit for periplasmic YedYZ reductase,5.31967,4.80158,4.05612,2.96653,1.34547
yeeA,yeeA,putative transporter%2C FUSC family inner membrane protein,,NC_000913.3:2079532-2080591,16129949,(POORLY CHARACTERIZED) [S] Function unknown,[COG1289] Uncharacterized membrane protein YccC,946545,NP_416512.1,352,"putative transporter, FUSC family inner membrane protein",8.05597,7.10414,8.06375,6.54326,6.14964
yeeD,yeeD,putative TusA family sulfurtransferase,,NC_000913.3:2084225-2084453,16129953,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0425] TusA-related sulfurtransferase,946539,NP_416516.1,75,putative TusA family sulfurtransferase,20.4262,15.6622,12.5952,13.909,9.40888
yeeE,yeeE,UPF0394 family inner membrane protein,putative transport system permease protein,NC_000913.3:2084466-2085525,16129954,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG2391] Uncharacterized membrane protein YedE/YeeE, contains two sulfur transport domains",946526,NP_416517.1,352,UPF0394 family inner membrane protein,0.874291,1.15515,5.0666,3.68635,4.73593
yeeH,yeeH,,pseudogene,NC_000913.3:2066067-2066154,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0
yeeJ,yeeJ,putative adhesin,putative factor,NC_000913.3:2044937-2052014,145698281,(POORLY CHARACTERIZED) [S] Function unknown,[COG1470] Uncharacterized membrane protein,946498,NP_416485.4,2358,putative adhesin,3.51472,3.90947,4.78944,3.35738,3.15466
yeeL,yeeL,,pseudogene%2C glycosyltransferase homology,NC_000913.3:2052275-2053328,-,-,-,-,-,-,-,0.69157,0.814037,1.36499,1.02058,0.996305
yeeN,yeeN,UPF0082 family protein,,NC_000913.3:2056857-2057574,16129927,"(INFORMATION STORAGE AND PROCESSING) [K] Transcription; [J] Translation, ribosomal structure and biogenesis",[COG0217] Transcriptional and/or translational regulatory protein YebC/TACO1,946493,NP_416490.1,238,UPF0082 family protein,46.2363,43.9188,20.2001,44.5532,41.8667
yeeO,yeeO,putative multdrug exporter%2C MATE family,,NC_000913.3:2058202-2059690,226524727,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0534] Na+-driven multidrug efflux pump,946506,NP_416491.2,495,"putative multdrug exporter, MATE family",4.13958,3.75299,8.20293,5.73433,5.10563
yeeP,yeeP,,pseudogene%2C CP4-44 prophage%3B 50S ribosome-binding GTPase family%3BPhage or Prophage Related~putative histone,NC_000913.3:2070659-2071211,-,-,-,-,-,-,-,2.29912,3.57843,3.28812,1.69711,3.93501
yeeR,yeeR,CP4-44 prophage%3B putative membrane protein,,NC_000913.3:2074778-2076754,-,-,-,-,-,-,-,3.30916,3.40308,3.64005,2.65245,2.7686
yeeS,yeeS,CP4-44 prophage%3B putative DNA repair protein,putative DNA repair protein%2C RADC family,NC_000913.3:2074778-2076754,16129943,"(INFORMATION STORAGE AND PROCESSING) [L] Replication, recombination and repair","[COG2003] DNA repair protein RadC, contains a helix-hairpin-helix DNA-binding motif",946514,NP_416506.1,148,CP4-44 prophage; putative DNA repair protein,3.53949,2.5347,3.37683,2.32293,3.15729
yeeT,yeeT,CP4-44 prophage%3B uncharacterized protein,,NC_000913.3:2076816-2077038,-,-,-,-,-,-,-,4.24523,2.30503,1.94392,1.25224,3.06102
yeeW,yeeW,,CP4-44 prophage%3B uncharacterized protein%3BPhage or Prophage Related,NC_000913.3:2077568-2078107,-,-,-,-,-,-,-,4.75664,6.312,5.40319,0.0,12.0483
yeeX,yeeX,UPF0265 family protein,putative alpha helix protein,NC_000913.3:2079031-2079361,145698283,(POORLY CHARACTERIZED) [S] Function unknown,"[COG2926] Uncharacterized conserved protein YeeX, DUF496 family",946541,NP_416511.4,109,UPF0265 family protein,299.098,198.955,112.348,205.682,251.169
yeeY,yeeY,LysR family putative transcriptional regulator,putative transcriptional regulator LYSR-type,NC_000913.3:2087328-2088258,90111371,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",946532,NP_416519.4,309,LysR family putative transcriptional regulator,22.3935,19.4223,19.4242,15.6093,14.8768
yeeZ,yeeZ,putative epimerase,putative enzyme of sugar metabolism,NC_000913.3:2088303-2089128,16129957,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,[COG0451] Nucleoside-diphosphate-sugar epimerase,946538,NP_416520.1,274,putative epimerase,79.8528,81.1387,71.3817,68.2183,70.1649
yefM,yefM,antitoxin of the YoeB-YefM toxin-antitoxin system,,NC_000913.3:2089210-2089713,90111372,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,"[COG2161] Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family",946542,NP_416521.2,83,antitoxin of the YoeB-YefM toxin-antitoxin system,85.8916,55.2067,85.3555,105.532,81.8056
yegD,yegD,Hsp70 chaperone family protein,putative heat shock protein,NC_000913.3:2147673-2149026,90111380,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG0443] Molecular chaperone DnaK (HSP70),947234,NP_416573.4,450,Hsp70 chaperone family protein,4.70297,4.65653,4.13701,4.09449,5.84664
yegE,yegE,putative diguanylate cyclase,putative sensor-type protein,NC_000913.3:2143265-2146583,16130007,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG5000] Signal transduction histidine kinase involved in nitrogen fixation and metabolism regulation,946600,NP_416571.1,1105,putative diguanylate cyclase,5.4655,5.2762,7.35539,4.58174,5.13925
yegH,yegH,inner membrane protein,putative transport protein,NC_000913.3:2137901-2139485,90111378,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG1253] Hemolysin or related protein, contains CBS domains",946566,NP_416567.4,527,inner membrane protein,21.7029,19.9057,23.9809,13.077,13.6114
yegI,yegI,protein kinase-related putative non-specific DNA-binding protein,putative chaperonin,NC_000913.3:2149038-2150985,16130010,(POORLY CHARACTERIZED) [R] General function prediction only,[COG4248] Uncharacterized protein with protein kinase and helix-hairpin-helix DNA-binding domains,947159,NP_416574.1,648,protein kinase-related putative non-specific DNA-binding protein,3.76522,2.87595,2.90275,2.77781,2.90331
yegJ,yegJ,uncharacterized protein,,NC_000913.3:2151184-2151646,16130011,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3779] Uncharacterized conserved protein YegJ, DUF2314 family",947201,NP_416575.1,153,uncharacterized protein b2071,4.10989,2.23676,3.42162,1.65508,2.35456
yegK,yegK,ser/thr phosphatase-related protein,,NC_000913.3:2151710-2153128,-,-,-,-,-,-,-,1.2139,0.948982,2.77562,1.10257,1.59025
yegL,yegL,VMA domain protein,,NC_000913.3:2151710-2153128,16130013,(POORLY CHARACTERIZED) [S] Function unknown,"[COG4245] Uncharacterized conserved protein YegL, contains vWA domain of TerY type",946602,NP_416577.1,219,VMA domain protein,2.47531,2.80488,3.98885,2.65731,2.68772
yegP,yegP,UPF0339 family protein,,NC_000913.3:2165188-2165521,90111382,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3422] Uncharacterized conserved protein YegP, UPF0339 family",947095,NP_416584.4,110,UPF0339 family protein,38.8657,28.7501,19.462,4.82425,3.78986
yegQ,yegQ,putative peptidase,,NC_000913.3:2165667-2167029,16130021,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones","[COG0826] Collagenase-like protease, PrtC family",946609,NP_416585.1,453,putative peptidase,31.1802,36.4981,21.0097,9.22958,12.4492
yegR,yegR,uncharacterized protein,,NC_000913.3:2167988-2168306,-,-,-,-,-,-,-,7.86165,4.25569,6.55269,1.58352,3.74149
yegS,yegS,phosphatidylglycerol kinase%2C metal-dependent,,NC_000913.3:2168711-2169611,16130026,(METABOLISM) [I] Lipid transport and metabolism; [R] General function prediction only,[COG1597] Diacylglycerol kinase family enzyme,946626,NP_416590.1,299,"phosphatidylglycerol kinase, metal-dependent",5.31366,6.24548,4.25124,3.58494,2.49502
yegT,yegT,nucleoside transporter%2C low affinity,putative nucleoside permease protein,NC_000913.3:2178820-2182781,16130036,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG2211] Na+/melibiose symporter or related transporter,946638,NP_416601.1,425,"nucleoside transporter, low affinity",1.85707,2.04333,3.44052,4.07354,4.02868
yegU,yegU,ADP-ribosylglycohydrolase family protein,,NC_000913.3:2178820-2182781,16130037,"(CELLULAR PROCESSES AND SIGNALING) [O] Posttranslational modification, protein turnover, chaperones",[COG1397] ADP-ribosylglycohydrolase,946630,NP_416602.1,334,ADP-ribosylglycohydrolase family protein,4.51867,4.916,4.48036,6.66849,7.67497
yegV,yegV,putative kinase,putative kinase,NC_000913.3:2178820-2182781,16130038,(METABOLISM) [G] Carbohydrate transport and metabolism,"[COG0524] Sugar or nucleoside kinase, ribokinase family",946637,NP_416603.1,321,putative kinase,5.64373,5.34726,5.01652,7.81481,8.20781
yegW,yegW,putative DNA-binding transcriptional regulator,putative transcriptional regulator,NC_000913.3:2178820-2182781,16130039,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG2188] DNA-binding transcriptional regulator, GntR family",946639,NP_416604.1,248,putative DNA-binding transcriptional regulator,18.5799,16.7222,16.6436,11.45,8.26593
yegX,yegX,putative family 25 glycosyl hydrolase,,NC_000913.3:2182832-2183651,90111386,(CELLULAR PROCESSES AND SIGNALING) [M] Cell wall/membrane/envelope biogenesis,"[COG3757] Lyzozyme M1 (1,4-beta-N-acetylmuramidase), GH25 family",945543,NP_416605.2,272,putative family 25 glycosyl hydrolase,9.29469,9.53535,8.18798,2.89463,5.61074
yegZ,yegZ,,pseudogene%2C gpD phage P2-like protein D,NC_000913.3:2167601-2167814,-,-,-,-,-,-,-,5.78012,6.95771,12.1226,1.41987,8.15065
yehA,yehA,putative fimbrial-like adhesin protein,putative type-1 fimbrial protein,NC_000913.3:2187379-2188414,16130046,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility,[COG3539] Pilin (type 1 fimbria component protein),946642,NP_416611.1,344,putative fimbrial-like adhesin protein,0.1925,0.296711,1.53983,1.23102,0.726418
yehB,yehB,putative outer membrane protein,putative outer membrane protein,NC_000913.3:2188429-2190910,16130047,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility; [W] Extracellular structures,[COG3188] Outer membrane usher protein FimD/PapC,946617,NP_416612.1,826,putative outer membrane protein,0.362261,0.290748,1.82028,1.63913,1.55227
yehC,yehC,putative periplasmic pilin chaperone,putative chaperone,NC_000913.3:2190925-2191645,16130048,(CELLULAR PROCESSES AND SIGNALING) [W] Extracellular structures,"[COG3121] P pilus assembly protein, chaperone PapD",946621,NP_416613.1,239,putative periplasmic pilin chaperone,0.301228,0.0,0.803651,1.48205,0.342241
yehD,yehD,putative fimbrial-like adhesin protein,putative fimbrial-like protein,NC_000913.3:2191679-2192222,16130049,(CELLULAR PROCESSES AND SIGNALING) [N] Cell motility,[COG3539] Pilin (type 1 fimbria component protein),946619,NP_416614.1,180,putative fimbrial-like adhesin protein,16.033,12.7512,13.8005,15.6352,11.4165
yehE,yehE,DUF2574 family protein,,NC_000913.3:2192514-2192796,-,-,-,-,-,-,-,4.14169,3.78269,2.10999,2.03901,3.77762
yehH,yehH,,DUF4132 family pseudogene%3B defective yehI paralog~molybdate metabolism regulator%2C first fragment~molybdate metabolism regulator%2C second fragment 2~yehI' molR mutations have phenotypes and the N-terminal molR fragment of yehI' may be expressed and may have retained or evolved MolR function,NC_000913.3:2196473-2200269,-,-,-,-,-,-,-,1.54108,1.07068,2.05881,1.50064,1.42373
yehI,yehI,DUF4132 domain-containing protein,putative regulator,NC_000913.3:2200278-2203911,-,-,-,-,-,-,-,1.46825,1.47963,2.63453,2.21386,2.21787
yehK,yehK,uncharacterized protein,,NC_000913.3:2203971-2204289,-,-,-,-,-,-,-,0.0,0.0,0.819086,0.0,0.0
yehL,yehL,putative hexameric AAA+ MoxR family ATPase,,NC_000913.3:2204595-2205684,90111389,(POORLY CHARACTERIZED) [R] General function prediction only,[COG0714] MoxR-like ATPase,946656,NP_416623.2,362,putative hexameric AAA+ MoxR family ATPase,0.422994,0.670696,2.20954,1.51596,1.43605
yehM,yehM,uncharacterized protein,,NC_000913.3:2205694-2211100,-,-,-,-,-,-,-,1.11061,1.00393,2.08372,1.44359,1.99823
yehP,yehP,VMA domain putative YehL ATPase stimulator,,NC_000913.3:2205694-2211100,16130059,(POORLY CHARACTERIZED) [S] Function unknown,"[COG3552] Uncharacterized conserved protein, contains von Willebrand factor type A (vWA) domain",946652,NP_416625.1,378,VMA domain putative YehL ATPase stimulator,0.746874,0.797164,2.36321,1.52607,1.49493
yehQ,yehQ,,pseudogene,NC_000913.3:2205694-2211100,-,-,-,-,-,-,-,1.82732,2.05843,2.71311,1.84242,2.7147
yehR,yehR,lipoprotein%2C DUF1307 family,,NC_000913.3:2211224-2211686,90111391,(POORLY CHARACTERIZED) [S] Function unknown,"[COG4808] Uncharacterized lipoprotein YehR, DUF1307 family",949023,NP_416627.2,153,"lipoprotein, DUF1307 family",7.28572,6.36618,2.56621,2.20677,3.63887
yehS,yehS,DUF1456 family protein,,NC_000913.3:2211725-2212196,16130062,(POORLY CHARACTERIZED) [S] Function unknown,"[COG4807] Uncharacterized conserved protein YehS, DUF1456 family",949026,NP_416628.1,156,DUF1456 family protein,51.5103,52.1286,29.4809,12.8548,12.4626
yehT,yehT,putative response regulator in two-component system withYehU,,NC_000913.3:2212242-2214644,90111392,(CELLULAR PROCESSES AND SIGNALING | INFORMATION STORAGE AND PROCESSING) [K] Transcription; [T] Signal transduction mechanisms,"[COG3279] DNA-binding response regulator, LytR/AlgR family",949024,NP_416629.4,239,putative response regulator in two-component system withYehU,19.5798,21.7953,11.7103,11.7082,10.4954
yehU,yehU,inner membrane putative sensory kinase in two-component system with YehT,putative 2-component sensor protein,NC_000913.3:2212242-2214644,16130064,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,"[COG3275] Sensor histidine kinase, LytS/YehU family",949027,NP_416630.1,561,inner membrane putative sensory kinase in two-component system with YehT,12.1648,12.6214,7.97593,7.64624,7.30279
yehW,yehW,putative ABC transporter permease,putative transport system permease protein,NC_000913.3:2215656-2216476,16130066,(METABOLISM) [E] Amino acid transport and metabolism,"[COG1174] ABC-type proline/glycine betaine transport system, permease component",949028,NP_416632.1,243,putative ABC transporter permease,3.24372,4.81234,4.60779,3.19181,2.00977
yehX,yehX,putative ABC transporter ATPase,putative ATP-binding component of a transport system,NC_000913.3:2216480-2218557,16130067,(METABOLISM) [E] Amino acid transport and metabolism,"[COG1125] ABC-type proline/glycine betaine transport system, ATPase component",946659,NP_416633.1,308,putative ABC transporter ATPase,1.2449,0.947834,3.76619,2.91796,2.32331
yehY,yehY,putative ABC transporter permease,putative transport system permease protein,NC_000913.3:2216480-2218557,16130068,(METABOLISM) [E] Amino acid transport and metabolism,"[COG1174] ABC-type proline/glycine betaine transport system, permease component",946660,NP_416634.1,385,putative ABC transporter permease,1.46224,1.04051,2.18481,2.07483,1.78131
yeiB,yeiB,DUF418 family putative inner membrane protein,,NC_000913.3:2241809-2242967,16130090,(POORLY CHARACTERIZED) [S] Function unknown,[COG2311] Uncharacterized membrane protein YeiB,949044,NP_416657.1,385,DUF418 family putative inner membrane protein,4.89289,5.41066,6.29738,5.64352,4.19881
yeiE,yeiE,putative DNA-binding transcriptional regulator,putative transcriptional regulator LYSR-type,NC_000913.3:2248736-2249618,16130095,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG0583] DNA-binding transcriptional regulator, LysR family",946657,NP_416662.1,293,putative DNA-binding transcriptional regulator,32.2903,36.6815,36.3734,36.8612,32.9881
yeiG,yeiG,S-formylglutathione hydrolase,putative esterase,NC_000913.3:2243909-2244746,16130092,(CELLULAR PROCESSES AND SIGNALING) [V] Defense mechanisms,[COG0627] S-formylglutathione hydrolase FrmB,949045,NP_416659.1,278,S-formylglutathione hydrolase,77.2706,78.0888,97.3387,46.0579,51.0211
yeiH,yeiH,UPF0324 family inner membrane protein,,NC_000913.3:2249716-2250766,16130096,(POORLY CHARACTERIZED) [S] Function unknown,[COG2855] Uncharacterized membrane protein YadS,946668,NP_416663.1,349,UPF0324 family inner membrane protein,102.951,103.731,64.8043,26.9971,27.7772
yeiI,yeiI,putative kinase,putative kinase,NC_000913.3:2251699-2252788,16130098,(INFORMATION STORAGE AND PROCESSING) [K] Transcription,"[COG1522] DNA-binding transcriptional regulator, Lrp family",946640,NP_416665.1,362,putative kinase,6.82833,8.55137,5.93815,10.1659,8.34279
yeiL,yeiL,putative transcriptional regulator,stationary phase nitrogen starvation regulator,NC_000913.3:2255354-2256014,49176193,(CELLULAR PROCESSES AND SIGNALING) [T] Signal transduction mechanisms,[COG0664] cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases,946670,NP_416668.3,219,putative transcriptional regulator,0.225029,0.519422,1.15805,0.83041,0.767921
yeiP,yeiP,elongation factor P-like protein,putative elongation factor,NC_000913.3:2265449-2266022,90111399,"(INFORMATION STORAGE AND PROCESSING) [J] Translation, ribosomal structure and biogenesis",[COG0231] Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A),946674,NP_416676.4,190,elongation factor P-like protein,14.4529,13.711,9.98301,20.9338,21.4541
yeiQ,yeiQ,putative NAD-dependent D-mannonate oxidoreductase,putative oxidoreductase,NC_000913.3:2266244-2267711,16130110,(METABOLISM) [G] Carbohydrate transport and metabolism,[COG0246] Mannitol-1-phosphate/altronate dehydrogenases,946688,NP_416677.1,488,putative NAD-dependent D-mannonate oxidoreductase,43.8647,44.9652,63.6406,13.5533,11.5885
yeiR,yeiR,Zn-stimulated GTPase involved in zinc homeostasis%3B mutants are cadmium and EDTA sensitive%3B Zn(2+) binding protein,,NC_000913.3:2267828-2268815,16130111,(POORLY CHARACTERIZED) [R] General function prediction only,"[COG0523] GTPase, G3E family",946701,NP_416678.1,328,Zn-stimulated GTPase involved in zinc homeostasis; mutants are cadmium and EDTA sensitive; Zn(2+) binding protein,1.76544,2.51153,2.79351,3.80787,3.15282
yeiS,yeiS,DUF2542 family protein,,NC_000913.3:2233599-2233839,-,-,-,-,-,-,-,3.40872,4.33459,4.68651,8.05037,11.3619
yeiW,yeiW,UPF0153 cysteine cluster protein,,NC_000913.3:2263862-2265295,-,-,-,-,-,-,-,11.6622,11.1484,6.68293,5.16593,11.7264
yejA,yejA,microcin C ABC transporter periplasmic binding protein,periplasmic-binding component of ABC superfamily,NC_000913.3:2272363-2274178,90111401,(METABOLISM) [E] Amino acid transport and metabolism,"[COG4166] ABC-type oligopeptide transport system, periplasmic component",946675,NP_416682.4,604,microcin C ABC transporter periplasmic binding protein,7.55589,6.74402,8.51404,6.59936,7.03682
yejB,yejB,microcin C ABC transporter permease,putative transport system permease protein%3B membrane component of ABC superfamily,NC_000913.3:2274178-2276298,16130116,"(METABOLISM) [Q] Secondary metabolites biosynthesis, transport and catabolism","[COG4174] ABC-type microcin C transport system, permease component YejB",946679,NP_416683.1,364,microcin C ABC transporter permease,3.5423,3.66515,3.63599,3.10102,3.87264
yejE,yejE,microcin C ABC transporter permease,putative transport system permease protein%3B membrane component of ABC superfamily,NC_000913.3:2274178-2276298,16130117,"(METABOLISM) [Q] Secondary metabolites biosynthesis, transport and catabolism","[COG4239] ABC-type microcin C transport system, permease component YejE",946683,NP_416684.1,341,microcin C ABC transporter permease,4.27914,3.41767,5.1863,6.69767,7.70737
yejF,yejF,microcin C ABC transporter ATPase,putative ATP-binding component of a transport system,NC_000913.3:2276299-2277889,16130118,"(METABOLISM) [Q] Secondary metabolites biosynthesis, transport and catabolism","[COG4172] ABC-type microcin C transport system, duplicated ATPase component YejF",946689,NP_416685.1,529,microcin C ABC transporter ATPase,18.7877,19.677,15.9499,13.1957,13.5097
